"Catalog_ID","Quantity","Name","Price","Brewery","Beer","ABV","IBU","Style","Sub.Style","Rating","Description","Last_Updated"
"QY5DZAPN4G4ENQISLJSSF6BJ",19,"Untitles art florida seltzer blood orange",3,"Untitled Art","Florida Seltzer Blood Orange & Pomegranate",5,NA,NA,"Hard Seltzer","(4.23)","","2020-12-28 12:52:43"
"YRHOM6XCIHRYI2NJW6ZYBOIP",24,"Ex novo Kill the Sun raspberries",12,"Ex novo Kill the Sun raspberries",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"ZOW6MNIMHGANUIIVCZNBFSUH",21,"Beachwood Spiced System of a Stout",5.5,"Beachwood Spiced System of a Stout",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"XH3UCHMJHEEFM6QYCLV2WKXW",16,"Illuminated Beer Yes H and D",5.5,"Illuminated Beer Yes H and D",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"I6VHCQNK42NYXPJA5ORBLETL",22,"Illuminated Beer Black Fang",5.5,"Illuminated Beer Black Fang",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"CFWU2AADDBZC7YZAMC27EDVK",23,"Baerlic Trickle Stereo Types 16oz",5,"Baerlic Trickle Stereo Types 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"GW46WYSMEEXM42QCRISTKB6Y",1,"Highland Park Refresh Light Pilsner 16oz",3.75,"Highland Park Refresh Light Pilsner 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"ICKTEWIPOKP7SHGIN6CEWLHG",2,"Highland Park Exceptionally Loud Triple Ipa 16oz",5.5,"Highland Park Exceptionally Loud Triple Ipa 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"2AJI5AGKE4OBXEYWJ74OB2FC",1,"WWeek T Shirt",10,"WWeek T Shirt",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"LC5K3ENHRD4DPJBE6A4IQUDM",1,"Green - 8th Anniversary T Shirt",5,"Green - 8th Anniversary T Shirt",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"FB6NNZB4AKQSX2S723WA54KP",2,"Grey - 8th Anniversary T Shirt",5,"Grey - 8th Anniversary T Shirt",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"KYNHOIF3TC2D2QFZFKUVAW6V",1,"Black - 8th Anniversary T Shirt",5,"Black - 8th Anniversary T Shirt",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"O3TNYO5R65KEHA25EPMMCGTN",1,"Green - 10th Anniversary T Shirt Women’s",15,"Green - 10th Anniversary T Shirt Women’s",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"EKTQVETNMLLKN7CMYCYTYUI6",1,"Green - 10th Anniversary T Shirt",15,"Green - 10th Anniversary T Shirt",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"3O77NKAFQSKT3AFHEIBWFITK",3,"Black - 10th Anniversary T Shirt Women’s",15,"Black - 10th Anniversary T Shirt Women’s",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"D63N5R46XMBMADVQLEYBM7DC",2,"Black - 10th Anniversary T Shirt",15,"Black - 10th Anniversary T Shirt",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"EAMECY5NYPD472AE3PVKVA2R",24,"Boneyard Grape Soda CBD 12oz",3.5,"Boneyard Grape Soda CBD 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"VQ3QPYMOOQHH2BKBP55NOSX7",9,"Swift Melon Seltzer 16oz",4,"Swift Melon Seltzer 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"FQN675MS5Z3GYQU5EPO3H7VX",2,"Stormbreaker BBA Winter Coat 500ml",7.5,"Stormbreaker BBA Winter Coat 500ml",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"NSDMKDIR7M27MLIA5NV2GFMF",13,"Our Mutual Friend Face It Dessert Stout 16oz",6.5,"Our Mutual Friend Face It Dessert Stout 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"HEUS7TND22JNKQFYYCBW4TRC",2,"Mason Ale Works Nice Spruce tip IPA 16oz",4,"Mason Ale Works Nice Spruce tip IPA 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"LU2QN6IHT6DYQQKF4ULIG4GI",1,"Propolis Orange Pale Ale 16oz",4.75,"Propolis Orange Pale Ale 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"KXHT7PKH7FNIOSNVQLFHGUKO",24,"Wander 2020 Barrel Aged Earlybird 500ml",14,"Wander 2020 Barrel Aged Earlybird 500ml",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
